sex,age,parch,fare,class,deck,embark_town,alive,alone
female,19.0,0,26.0,Second,,Southampton,yes,False
male,,0,13.8625,Second,,Cherbourg,yes,True
male,33.0,1,20.525,Third,,Southampton,no,False
male,8.0,1,36.75,Second,,Southampton,yes,False
male,17.0,2,110.8833,First,C,Cherbourg,yes,False
male,27.0,0,26.0,Second,,Southampton,no,True
male,,0,7.8292,Third,,Queenstown,no,True
male,22.0,0,7.225,Third,,Cherbourg,yes,True
female,22.0,0,7.775,Third,,Southampton,yes,True
male,62.0,0,26.55,First,,Southampton,no,True
female,48.0,0,39.6,First,A,Cherbourg,yes,False
male,,0,227.525,First,,Cherbourg,no,True
female,39.0,1,79.65,First,E,Southampton,yes,False
female,36.0,0,17.4,Third,,Southampton,yes,False
male,,0,7.75,Third,,Queenstown,no,True
male,40.0,0,7.8958,Third,,Southampton,no,True
male,28.0,0,13.5,Second,,Southampton,no,True
male,,0,8.05,Third,,Southampton,no,True
female,,0,8.05,Third,,Southampton,no,True
male,24.0,0,24.15,Third,,Southampton,no,False
male,19.0,0,7.8958,Third,,Southampton,no,True
female,29.0,4,21.075,Third,,Southampton,no,False
male,,0,7.2292,Third,,Cherbourg,no,True
male,32.0,0,7.8542,Third,,Southampton,yes,True
male,62.0,0,10.5,Second,,Southampton,yes,True
female,53.0,0,51.4792,First,C,Southampton,yes,False
male,36.0,0,26.3875,First,E,Southampton,yes,True
female,,0,7.75,Third,,Queenstown,yes,True
male,16.0,0,8.05,Third,,Southampton,no,True
male,19.0,0,14.5,Third,,Southampton,no,True
female,34.0,0,13.0,Second,,Southampton,yes,True
female,39.0,0,55.9,First,E,Southampton,yes,False
female,,0,14.4583,Third,,Cherbourg,no,False
male,32.0,0,7.925,Third,,Southampton,yes,True
female,25.0,1,30.0,Second,,Southampton,yes,False
female,39.0,1,110.8833,First,C,Cherbourg,yes,False
male,54.0,0,26.0,Second,,Southampton,no,True
male,36.0,0,40.125,First,A,Cherbourg,no,True
male,,0,8.7125,Third,,Cherbourg,no,True
female,18.0,2,79.65,First,E,Southampton,yes,False
male,47.0,0,15.0,Second,,Southampton,no,True
male,60.0,1,79.2,First,B,Cherbourg,yes,False
male,22.0,0,8.05,Third,,Southampton,no,True
male,,0,8.05,Third,,Southampton,no,True
male,35.0,0,7.125,Third,,Southampton,no,True
female,52.0,0,78.2667,First,D,Cherbourg,yes,False
male,47.0,0,7.25,Third,,Southampton,no,True
female,,2,7.75,Third,,Queenstown,no,False
male,37.0,0,26.0,Second,,Southampton,no,False
male,36.0,1,24.15,Third,,Southampton,no,False
female,,0,33.0,Second,,Southampton,yes,True
male,49.0,0,0.0,Third,,Southampton,no,True
male,,0,7.225,Third,,Cherbourg,no,True
male,49.0,0,56.9292,First,A,Cherbourg,yes,False
female,24.0,1,27.0,Second,,Southampton,yes,False
male,,0,7.8958,Third,,Southampton,no,True
male,,0,42.4,First,,Southampton,no,True
male,44.0,0,8.05,Third,,Southampton,no,True
male,35.0,0,26.55,First,,Cherbourg,yes,True
male,36.0,0,15.55,Third,,Southampton,no,False
male,30.0,0,7.8958,Third,,Southampton,no,True
male,27.0,0,30.5,First,,Southampton,yes,True
female,22.0,2,41.5792,Second,,Cherbourg,yes,False
female,40.0,0,153.4625,First,C,Southampton,yes,True
female,39.0,5,31.275,Third,,Southampton,no,False
male,,0,7.05,Third,,Southampton,no,True
female,,0,15.5,Third,,Queenstown,yes,False
male,,0,7.75,Third,,Queenstown,no,True
male,35.0,0,8.05,Third,,Southampton,no,True
female,24.0,2,65.0,Second,,Southampton,yes,False
male,34.0,1,14.4,Third,,Southampton,no,False
female,26.0,0,16.1,Third,,Southampton,no,False
female,4.0,1,39.0,Second,F,Southampton,yes,False
male,26.0,0,10.5,Second,,Southampton,no,True
male,27.0,0,14.4542,Third,,Cherbourg,no,False
male,42.0,0,52.5542,First,D,Southampton,yes,False
male,20.0,1,15.7417,Third,,Cherbourg,yes,False
male,21.0,0,7.8542,Third,,Southampton,no,True
male,21.0,0,16.1,Third,,Southampton,no,True
male,61.0,0,32.3208,First,D,Southampton,no,True
male,57.0,0,12.35,Second,,Queenstown,no,True
female,21.0,0,77.9583,First,D,Southampton,yes,True
male,26.0,0,7.8958,Third,,Southampton,no,True
male,,0,7.7333,Third,,Queenstown,no,True
male,80.0,0,30.0,First,A,Southampton,yes,True
male,51.0,0,7.0542,Third,,Southampton,no,True
male,32.0,0,30.5,First,B,Cherbourg,yes,True
male,,0,0.0,First,,Southampton,no,True
female,9.0,2,27.9,Third,,Southampton,no,False
female,28.0,0,13.0,Second,,Southampton,yes,True
male,32.0,0,7.925,Third,,Southampton,no,True
male,31.0,1,26.25,Second,,Southampton,no,False
female,41.0,5,39.6875,Third,,Southampton,no,False
male,,0,16.1,Third,,Southampton,no,False
male,20.0,0,7.8542,Third,,Southampton,no,True
female,24.0,0,69.3,First,B,Cherbourg,yes,True
female,2.0,2,27.9,Third,,Southampton,no,False
male,,0,56.4958,Third,,Southampton,yes,True
female,0.75,1,19.2583,Third,,Cherbourg,yes,False
male,48.0,0,76.7292,First,D,Cherbourg,yes,False
male,19.0,0,7.8958,Third,,Southampton,no,True
male,56.0,0,35.5,First,A,Cherbourg,yes,True
male,,0,7.55,Third,,Southampton,no,True
female,23.0,0,7.55,Third,,Southampton,yes,True
male,,0,7.8958,Third,,Southampton,no,True
female,18.0,1,23.0,Second,,Southampton,yes,False
male,21.0,0,8.4333,Third,,Southampton,no,True
female,,0,7.8292,Third,,Queenstown,yes,True
female,18.0,0,6.75,Third,,Queenstown,no,True
male,24.0,0,73.5,Second,,Southampton,no,False
male,,0,7.8958,Third,,Southampton,no,True
female,32.0,1,15.5,Third,,Queenstown,no,False
male,23.0,0,13.0,Second,,Southampton,no,True
male,58.0,2,113.275,First,D,Cherbourg,no,False
male,50.0,0,133.65,First,,Southampton,yes,False
male,40.0,0,7.225,Third,,Cherbourg,no,True
male,47.0,0,25.5875,First,E,Southampton,no,True
male,36.0,0,7.4958,Third,,Southampton,no,True
male,20.0,0,7.925,Third,,Southampton,yes,False
male,32.0,0,73.5,Second,,Southampton,no,False
male,25.0,0,13.0,Second,,Southampton,no,True
male,,0,7.775,Third,,Southampton,no,True
male,43.0,0,8.05,Third,,Southampton,no,True
female,,0,52.0,First,C,Southampton,yes,False
female,40.0,1,39.0,Second,,Southampton,yes,False
male,31.0,0,52.0,First,B,Southampton,no,False
male,70.0,0,10.5,Second,,Southampton,no,True
male,31.0,0,13.0,Second,,Southampton,yes,True
male,,0,0.0,Second,,Southampton,no,True
male,18.0,0,7.775,Third,,Southampton,no,True
male,24.5,0,8.05,Third,,Southampton,no,True
female,18.0,0,9.8417,Third,,Southampton,yes,True
female,43.0,6,46.9,Third,,Southampton,no,False
male,36.0,1,512.3292,First,B,Cherbourg,yes,False
female,,0,8.1375,Third,,Queenstown,no,True
male,27.0,0,76.7292,First,D,Cherbourg,yes,True
male,20.0,0,9.225,Third,,Southampton,no,True
male,14.0,2,46.9,Third,,Southampton,no,False
male,60.0,1,39.0,Second,,Southampton,no,False
male,25.0,2,41.5792,Second,,Cherbourg,no,False
male,14.0,1,39.6875,Third,,Southampton,no,False
male,19.0,0,10.1708,Third,,Southampton,no,True
male,18.0,0,7.7958,Third,,Southampton,no,True
female,15.0,1,211.3375,First,B,Southampton,yes,False
male,31.0,0,57.0,First,B,Southampton,yes,False
female,4.0,1,13.4167,Third,,Cherbourg,yes,False
male,,0,56.4958,Third,,Southampton,yes,True
male,25.0,0,7.225,Third,,Cherbourg,no,True
male,60.0,0,26.55,First,,Southampton,no,True
male,52.0,0,13.5,Second,,Southampton,no,True
male,44.0,0,8.05,Third,,Southampton,no,True
female,,0,7.7333,Third,,Queenstown,yes,True
male,49.0,1,110.8833,First,C,Cherbourg,no,False
male,42.0,0,7.65,Third,F,Southampton,no,True
female,18.0,0,227.525,First,C,Cherbourg,yes,False
male,35.0,0,26.2875,First,E,Southampton,yes,True
female,18.0,1,14.4542,Third,,Cherbourg,no,False
male,25.0,0,7.7417,Third,,Queenstown,no,True
male,26.0,0,7.8542,Third,,Southampton,no,False
male,39.0,0,26.0,Second,,Southampton,no,True
female,45.0,0,13.5,Second,,Southampton,yes,True
male,42.0,0,26.2875,First,E,Southampton,yes,True
female,22.0,0,151.55,First,,Southampton,yes,True
male,,1,15.2458,Third,,Cherbourg,yes,False
female,24.0,0,49.5042,First,C,Cherbourg,yes,True
male,,0,26.55,First,C,Southampton,no,True
male,48.0,0,52.0,First,C,Southampton,yes,False
male,29.0,0,9.4833,Third,,Southampton,no,True
male,52.0,0,13.0,Second,,Southampton,no,True
male,19.0,0,7.65,Third,F,Southampton,no,True
female,38.0,0,227.525,First,C,Cherbourg,yes,True
female,27.0,0,10.5,Second,E,Southampton,yes,True
male,,0,15.5,Third,,Queenstown,no,True
male,33.0,0,7.775,Third,,Southampton,no,True
female,6.0,1,33.0,Second,,Southampton,yes,False
male,17.0,0,7.0542,Third,,Southampton,no,False
male,34.0,0,13.0,Second,,Southampton,no,True
male,50.0,0,13.0,Second,,Southampton,no,True
male,27.0,0,53.1,First,E,Southampton,yes,False
male,20.0,0,8.6625,Third,,Southampton,no,True
female,30.0,0,21.0,Second,,Southampton,yes,False
female,,0,7.7375,Third,,Queenstown,yes,True
male,25.0,0,26.0,Second,,Southampton,no,False
female,25.0,0,7.925,Third,,Southampton,no,False
female,29.0,0,211.3375,First,B,Southampton,yes,True
male,11.0,0,18.7875,Third,,Cherbourg,no,True
male,,0,0.0,Second,,Southampton,no,True
male,23.0,0,13.0,Second,,Southampton,no,True
male,23.0,0,13.0,Second,,Southampton,no,True
male,28.5,0,16.1,Third,,Southampton,no,True
female,48.0,3,34.375,Third,,Southampton,no,False
male,35.0,0,512.3292,First,B,Cherbourg,yes,True
male,,0,7.8958,Third,,Southampton,no,True
male,,0,7.8958,Third,,Southampton,no,True
male,,0,30.0,First,D,Southampton,yes,True
male,36.0,0,78.85,First,C,Southampton,no,False
female,21.0,2,262.375,First,B,Cherbourg,yes,False
male,24.0,0,16.1,Third,,Southampton,no,False
male,31.0,0,7.925,Third,,Southampton,yes,True
male,70.0,1,71.0,First,B,Southampton,no,False
male,16.0,1,20.25,Third,,Southampton,no,False
female,30.0,0,13.0,Second,,Southampton,yes,True
male,19.0,0,53.1,First,D,Southampton,no,False
male,31.0,0,7.75,Third,,Queenstown,no,True
female,4.0,1,23.0,Second,,Southampton,yes,False
male,6.0,1,12.475,Third,E,Southampton,yes,False
male,33.0,0,9.5,Third,,Southampton,no,True
male,23.0,0,7.8958,Third,,Southampton,no,True
female,48.0,2,65.0,Second,,Southampton,yes,False
male,0.67,1,14.5,Second,,Southampton,yes,False
male,28.0,0,7.7958,Third,,Southampton,no,True
male,18.0,0,11.5,Second,,Southampton,no,True
male,34.0,0,8.05,Third,,Southampton,no,True
female,33.0,0,86.5,First,B,Southampton,yes,True
male,,0,14.5,Third,,Southampton,no,True
male,41.0,0,7.125,Third,,Southampton,no,True
male,20.0,0,7.2292,Third,,Cherbourg,yes,True
female,36.0,2,120.0,First,B,Southampton,yes,False
male,16.0,0,7.775,Third,,Southampton,no,True
female,51.0,0,77.9583,First,D,Southampton,yes,False
male,,0,39.6,First,,Cherbourg,no,True
female,30.5,0,7.75,Third,,Queenstown,no,True
male,,0,24.15,Third,,Queenstown,no,False
male,32.0,0,8.3625,Third,,Southampton,no,True
male,24.0,0,9.5,Third,,Southampton,no,True
male,48.0,0,7.8542,Third,,Southampton,no,True
female,57.0,0,10.5,Second,E,Southampton,no,True
male,,0,7.225,Third,,Cherbourg,no,True
female,54.0,3,23.0,Second,,Southampton,yes,False
male,18.0,0,7.75,Third,,Southampton,no,True
male,,0,7.75,Third,F,Queenstown,no,True
female,5.0,0,12.475,Third,,Southampton,yes,True
male,,0,7.7375,Third,,Queenstown,no,True
female,43.0,1,211.3375,First,B,Southampton,yes,False
female,13.0,0,7.2292,Third,,Cherbourg,yes,True
female,17.0,0,57.0,First,B,Southampton,yes,False
male,29.0,0,30.0,First,D,Southampton,no,True
male,,2,23.45,Third,,Southampton,no,False
male,25.0,0,7.05,Third,,Southampton,no,True
male,25.0,0,7.25,Third,,Southampton,no,True
female,18.0,0,7.4958,Third,,Southampton,yes,True
male,8.0,1,29.125,Third,,Queenstown,no,False
male,1.0,2,20.575,Third,,Southampton,yes,False
male,46.0,0,79.2,First,B,Cherbourg,no,True
male,,0,7.75,Third,,Queenstown,no,True
male,16.0,0,26.0,Second,,Southampton,no,True
female,,2,69.55,Third,,Southampton,no,False
male,,0,30.6958,First,,Cherbourg,no,True
male,25.0,0,7.8958,Third,,Southampton,no,True
male,39.0,0,13.0,Second,,Southampton,no,True
female,49.0,0,25.9292,First,D,Southampton,yes,True
female,31.0,0,8.6833,Third,,Southampton,yes,True
male,30.0,0,7.2292,Third,,Cherbourg,no,True
female,30.0,1,24.15,Third,,Southampton,no,False
male,34.0,0,13.0,Second,,Southampton,no,True
female,31.0,1,26.25,Second,,Southampton,yes,False
male,11.0,2,120.0,First,B,Southampton,yes,False
male,0.42,1,8.5167,Third,,Cherbourg,yes,False
male,27.0,0,6.975,Third,,Southampton,yes,True
male,31.0,0,7.775,Third,,Southampton,no,True
male,39.0,0,0.0,First,A,Southampton,no,True
female,18.0,0,7.775,Third,,Southampton,no,True
male,39.0,0,13.0,Second,,Southampton,no,True
female,33.0,0,53.1,First,E,Southampton,yes,False
male,26.0,0,7.8875,Third,,Southampton,no,True
male,39.0,0,24.15,Third,,Southampton,no,True
male,35.0,0,10.5,Second,,Southampton,no,True
female,6.0,2,31.275,Third,,Southampton,no,False
male,30.5,0,8.05,Third,,Southampton,no,True
male,,0,0.0,First,B,Southampton,no,True
female,23.0,0,7.925,Third,,Southampton,no,True
male,31.0,1,37.0042,Second,,Cherbourg,no,False
male,43.0,0,6.45,Third,,Southampton,no,True
male,10.0,2,27.9,Third,,Southampton,no,False
female,52.0,1,93.5,First,B,Southampton,yes,False
male,27.0,0,8.6625,Third,,Southampton,yes,True
male,38.0,0,0.0,First,,Southampton,no,True
female,27.0,1,12.475,Third,E,Southampton,yes,False
male,2.0,1,39.6875,Third,,Southampton,no,False
male,,0,6.95,Third,,Queenstown,no,True
male,,0,56.4958,Third,,Southampton,no,True
male,1.0,2,37.0042,Second,,Cherbourg,yes,False
male,,0,7.75,Third,,Queenstown,yes,True
female,62.0,0,80.0,First,B,,yes,True
female,15.0,0,14.4542,Third,,Cherbourg,yes,False
male,0.83,1,18.75,Second,,Southampton,yes,False
male,,0,7.2292,Third,,Cherbourg,no,True
male,23.0,0,7.8542,Third,,Southampton,no,True
male,18.0,0,8.3,Third,,Southampton,no,True
female,39.0,1,83.1583,First,E,Cherbourg,yes,False
male,21.0,0,8.6625,Third,,Southampton,no,True
male,,0,8.05,Third,,Southampton,no,True
male,32.0,0,56.4958,Third,,Southampton,yes,True
male,,0,29.7,First,C,Cherbourg,yes,True
male,20.0,0,7.925,Third,,Southampton,no,True
male,16.0,0,10.5,Second,,Southampton,no,True
female,30.0,0,31.0,First,,Cherbourg,yes,True
male,34.5,0,6.4375,Third,,Cherbourg,no,True
male,17.0,0,8.6625,Third,,Southampton,no,True
male,42.0,0,7.55,Third,,Southampton,no,True
male,,2,69.55,Third,,Southampton,no,False
male,35.0,0,7.8958,Third,,Cherbourg,no,True
male,28.0,1,33.0,Second,,Southampton,no,False
female,,0,89.1042,First,C,Cherbourg,yes,False
male,4.0,2,31.275,Third,,Southampton,no,False
male,74.0,0,7.775,Third,,Southampton,no,True
female,9.0,1,15.2458,Third,,Cherbourg,no,False
female,16.0,1,39.4,First,D,Southampton,yes,False
female,44.0,0,26.0,Second,,Southampton,no,False
female,18.0,1,9.35,Third,,Southampton,yes,False
female,45.0,1,164.8667,First,,Southampton,yes,False
male,51.0,0,26.55,First,E,Southampton,yes,True
female,24.0,3,19.2583,Third,,Cherbourg,yes,False
male,,0,7.2292,Third,,Cherbourg,no,True
male,41.0,0,14.1083,Third,,Southampton,no,False
male,21.0,0,11.5,Second,,Southampton,no,False
female,48.0,0,25.9292,First,D,Southampton,yes,True
female,,2,69.55,Third,,Southampton,no,False
male,24.0,0,13.0,Second,,Southampton,no,True
female,42.0,0,13.0,Second,,Southampton,yes,True
female,27.0,0,13.8583,Second,,Cherbourg,yes,False
male,31.0,0,50.4958,First,A,Southampton,no,True
male,,0,9.5,Third,,Southampton,no,True
male,4.0,1,11.1333,Third,,Southampton,yes,False
male,26.0,0,7.8958,Third,,Southampton,no,True
female,47.0,1,52.5542,First,D,Southampton,yes,False
male,33.0,0,5.0,First,B,Southampton,no,True
male,47.0,0,9.0,Third,,Southampton,no,True
female,28.0,0,24.0,Second,,Cherbourg,yes,False
female,15.0,0,7.225,Third,,Cherbourg,yes,True
male,20.0,0,9.8458,Third,,Southampton,no,True
male,19.0,0,7.8958,Third,,Southampton,no,True
male,,0,7.8958,Third,,Southampton,no,True
female,56.0,1,83.1583,First,C,Cherbourg,yes,False
female,25.0,1,26.0,Second,,Southampton,yes,False
male,33.0,0,7.8958,Third,,Southampton,no,True
female,22.0,0,10.5167,Third,,Southampton,no,True
male,28.0,0,10.5,Second,,Southampton,no,True
male,25.0,0,7.05,Third,,Southampton,no,True
female,39.0,5,29.125,Third,,Queenstown,no,False
male,27.0,0,13.0,Second,,Southampton,no,True
female,19.0,0,30.0,First,B,Southampton,yes,True
female,,2,23.45,Third,,Southampton,no,False
male,26.0,0,30.0,First,C,Cherbourg,yes,True
male,32.0,0,7.75,Third,,Queenstown,no,True
